,population_ln,infant_mort_ln,leader_tenure,CPI_sqrt,cell_phones_ln,country_age,coups_recent,regime_age,ethnic_salient,non_violent_camp,service,GDP_change,youth_bulge,election_year,urban_pop,democracy,wto_gatt,secondary_school,state_discriminate,civil_war,torture,manufactoring,year,country,sftgcode,is_democracy
0,-0.339537558199,0.922285519558,-0.20336678817200002,0.41232570230800003,-0.6309194449750001,-0.199921060116,-0.434256737305,-1.03525818133,1.2331540782700001,0,-0.295433387765,-2.05888558153,0.405769216733,-0.5766828671199999,-1.35881424663,-0.901948869635,-1.3111777944,-1.04687269806,-0.730525013207,-0.40799316183300005,-0.12101012415699999,-0.22741344529100002,1955,Afghanistan,AFG,False
1,0.149004139051,0.943596826371,0.0161104819111,0.412749934582,-0.6309194449750001,-0.18111250697999998,-0.434256737305,-0.816862442924,1.2331540782700001,0,-1.0845938477600001,-2.05929285571,0.394905776858,-0.5766828671199999,-1.5411614845,-0.901948869635,-1.3111777944,-1.41284099183,-0.730525013207,-0.40799316183300005,-0.111486793016,-0.10614961771800001,1956,Afghanistan,AFG,False
2,0.17037097908399998,0.9515622766299999,0.195436468823,0.413068632151,-0.6309194449750001,-0.162792543363,-0.434256737305,-0.589357062882,1.2331540782700001,0,-1.1186605610299998,-1.0830773006399999,0.391195702597,-0.5766828671199999,-1.52044923741,-0.901948869635,-1.3111777944,-1.4598038337600001,-0.730525013207,-0.40799316183300005,-0.11419147284000002,-0.586160612198,1957,Afghanistan,AFG,False
3,0.190971386868,1.00108671607,0.347054430403,0.41330941184299996,-0.6309194449750001,-0.144936426487,-0.434256737305,-0.41128817654,1.2331540782700001,0,-1.34580355734,-0.31196140221,0.39025711394199997,-0.5766828671199999,-1.50079884977,-0.901948869635,-1.3111777944,-1.45545042448,-0.730525013207,-0.40799316183300005,-0.135523870366,-1.1972233617899999,1958,Afghanistan,AFG,False
4,0.195269910526,0.9917876848139999,0.478391882689,0.41349183231200004,-0.6309194449750001,-0.127521246758,-0.434256737305,-0.38237324276600004,1.2331540782700001,0,-1.4640391155399999,0.224638238963,0.41637577285599997,-0.5766828671199999,-1.4968017142399999,-0.901948869635,-1.3111777944,-1.3874649371099999,-0.730525013207,-0.40799316183300005,-0.175916411448,-1.2081431335700001,1959,Afghanistan,AFG,False
5,0.0510489265694,0.913405620441,0.594239725819,-0.49136249886999994,-0.6309194449750001,-0.110525751031,-0.434256737305,0.0732639008227,1.2331540782700001,0,-0.910189435992,0.442101228795,0.451055352767,1.7340553309599998,-1.63385998014,-0.901948869635,-1.3111777944,-2.0377836985799997,-0.730525013207,-0.40799316183300005,-0.353415247324,-1.19907118414,1960,Afghanistan,AFG,False
6,0.0637613265572,0.708984069392,0.697869152773,-1.23739764554,-0.6309194449750001,-0.09393018666889999,-0.434256737305,0.789433304434,1.2331540782700001,0,-2.73219171703,-0.545019199515,0.441316061982,-0.5766828671199999,-1.6220519718900002,-0.901948869635,-1.3111777944,-1.7617952410099997,-0.730525013207,-0.40799316183300005,0.602568196699,-0.823897328334,1961,Afghanistan,AFG,False
7,0.07685090548910001,0.7307315673370001,0.7916133723630001,-0.20651169055100002,-0.6309194449750001,-0.0777161635355,-0.434256737305,1.4339187224799999,1.2331540782700001,0,-1.06404393539,-0.42009095221000003,0.46786903684500003,-0.5766828671199999,-1.60983253479,-0.901948869635,-1.3111777944,-1.26758457893,-0.730525013207,-0.40799316183300005,0.223506699131,0.27934734923500004,1962,Afghanistan,AFG,False
8,0.0903129342798,0.75903367333,-1.5668841299,-1.6070223923500002,-0.6309194449750001,-0.0618665314947,-0.434256737305,-1.5818021662900001,1.2331540782700001,0,-1.35530197375,-0.31023080861900004,0.494313937226,-0.5766828671199999,-1.59728395459,-0.901948869635,-1.3111777944,-1.61248811977,-0.730525013207,-0.40799316183300005,0.563357040317,-0.35013121689000004,1963,Afghanistan,AFG,False
9,0.10414564299000001,0.7508907552590001,-0.8851254590340001,-0.944734777833,-0.6309194449750001,-0.046365271376900004,-0.434256737305,-1.89239960217,1.2331540782700001,0,0.49650951072800004,0.328487698105,0.5205889346060001,1.7340553309599998,-1.5842828026499998,-0.901948869635,-1.3111777944,-1.89668526645,-0.730525013207,-0.40799316183300005,-1.31446782171,-1.04614461326,1964,Afghanistan,AFG,False
10,0.118342103216,0.7560136933759999,-0.48632220203800003,-0.485530412447,-0.6309194449750001,-0.031197397672200002,-0.434256737305,-1.35492445508,1.2331540782700001,0,-0.181922581218,-0.8203998877609999,0.5501376423250001,-0.5766828671199999,-1.57095250762,-0.901948869635,-1.3111777944,-1.4418173347999999,-0.730525013207,-0.40799316183300005,-1.18743398586,-0.0359714076052,1965,Afghanistan,AFG,False
11,0.132680490708,0.77947727412,-0.20336678817200002,-0.708138210483,-0.6309194449750001,-0.0163488714686,-0.434256737305,-1.0405216489700002,1.2331540782700001,0,-0.628512123459,-1.6013283159799998,0.522367217738,-0.5766828671199999,-1.55716964085,-0.901948869635,-1.3111777944,-1.44989199783,-0.730525013207,-0.40799316183300005,-1.18743395654,-0.5784341518689999,1966,Afghanistan,AFG,False
12,0.14710982661,0.838458571151,0.0161104819111,-0.739549610959,-0.6309194449750001,-0.00180652236709,-0.434256737305,-0.8174493079970001,1.2331540782700001,0,-1.27595422909,-1.55209655167,0.498532054406,-0.5766828671199999,-1.5429753452200001,-0.901948869635,-1.3111777944,-1.30264267869,-0.730525013207,-0.40799316183300005,-1.1874340035100002,0.45415241883999996,1967,Afghanistan,AFG,False
